,title,question,answer
368,Bruce Graham,What is the University of Pennsylvania commonly known as?,Penn or UPenn
369,Bruce Graham,What is the official name of Peru?,Republic of Peru
370,Bruce Graham,When did Peru formally proclaim its independence from Spain?,1821
371,Bruce Graham,How many departments is Colombia divided into?,32 departments.
372,Bruce Graham,What is the official language of Colombia?,Spanish.
373,Bruce Graham,What was the original site of the Broadgate development?,The original site of Broadgate development was Broad Street station.
374,Bruce Graham,What are the main bodies of water bordering Colombia?,The Caribbean Sea to the north and the Pacific Ocean to the west.
375,Bruce Graham,Where is Canary Wharf located?,"Canary Wharf is located in London, England, near the Isle of Dogs in the London Borough of Tower Hamlets."
376,Bruce Graham,What significant first does the University of Pennsylvania's Wharton School hold?,It is the nation's first collegiate business school.
377,Bruce Graham,What is the population of London?,Around 8.8 million.
378,Bruce Graham,How tall is Willis Tower?,"1,451 feet (442.3 m)"
379,Bruce Graham,What is Canary Wharf known for?,"Canary Wharf is known for being one of the main financial centres in the United Kingdom and the world, containing many high-rise buildings including One Canada Square."
380,Bruce Graham,What are the main economic activities in Peru?,"Mining, manufacturing, agriculture, and fishing"
381,Bruce Graham,How much office and retail space does Canary Wharf contain?,"Canary Wharf contains around 16,000,000 sq ft (1,500,000 m2) of office and retail space."
382,Bruce Graham,Where is the Inland Steel Building located?,"30 W. Monroe Street in Chicago, Illinois."
383,Bruce Graham,What was the primary goal of the SOM Foundation when it was founded in 1979?,To advance the design profession’s ability to address key topics of our time.
384,Louis de Rougemont,What river does London stand on?,The River Thames.
385,Louis de Rougemont,What was the original name of the Royal Geographical Society?,Geographical Society of London
386,Louis de Rougemont,When was the British Museum established?,1753
387,Louis de Rougemont,When did the British Museum first open to the public?,1759
388,Louis de Rougemont,What are the two major cities on New Guinea?,Port Moresby and Jayapura
389,Louis de Rougemont,How many official languages does South Africa recognize in its constitution?,South Africa recognizes 12 official languages in its constitution.
390,Louis de Rougemont,What is the official name of South Africa?,The official name of South Africa is the Republic of South Africa (RSA or R.S.A.).
391,Louis de Rougemont,When were the majority of Black South Africans enfranchised?,The majority of Black South Africans were not enfranchised until 1994.
392,Louis de Rougemont,What is the population of London?,Around 8.8 million.
393,Louis de Rougemont,What was Fanny Kemble known for in the 19th century?,"She was known as a British actress, writer, and abolitionist."
394,Louis de Rougemont,What is the area of New Guinea?,"785,753 km2 (303,381 sq mi)"
395,Louis de Rougemont,"According to the New Zealand Oxford Dictionary, what are the two meanings of 'Australasia'?","One meaning is Australia, New Zealand, New Guinea, and the neighbouring islands of the Pacific. The other meaning, especially in New Zealand use, is just Australia and New Zealand."
396,Louis de Rougemont,How many members does the Royal Geographical Society have?,"16,000"
397,Louis de Rougemont,How many works does the British Museum's permanent collection hold?,eight million
398,Louis de Rougemont,What are some of the functions performed by the governor of Western Australia?,"Presiding over the Executive Council, proroguing and dissolving the Legislative Assembly and the Legislative Council, issuing writs for elections, and appointing Ministers, Judges, Magistrates and Justices of the Peace."
399,Louis de Rougemont,When did the appointment of governors in Western Australia transition from British officials to Australian citizens?,1948 with the appointment of Sir James Mitchell
400,Louis de Rougemont,How did the term Australasia relate to the British colonies in the late 19th century?,"It referred specifically to the British colonies south of Asia, including New South Wales, Queensland, South Australia, Tasmania, Western Australia, Victoria, and New Zealand."
401,Louis de Rougemont,What significant contribution did Fanny Kemble make towards abolitionism?,"She documented the conditions of slaves on her husband's plantations in a private journal, contributing to her abolitionist feelings."
402,Louis de Rougemont,"Before becoming an act, what is required of a bill passed by the Parliament of Western Australia?",The governor's signature
403,Louis de Rougemont,How many World Heritage Sites are there in London?,Four.
404,Martin Gutzwiller,When was Yale University founded?,1701
405,Martin Gutzwiller,What was Yale University originally established as in 1701?,The Collegiate School
406,Martin Gutzwiller,What is IBM's nickname?,Big Blue
407,Martin Gutzwiller,When was IBM founded?,1911
408,Martin Gutzwiller,Where is the Max Planck Institute for the Physics of Complex Systems located?,"Dresden, Germany"
409,Martin Gutzwiller,"How many institutes does the Max-Planck-Gesellschaft have, including the Max Planck Institute for the Physics of Complex Systems?",80
410,Martin Gutzwiller,When was Swann Galleries founded?,1941
411,Martin Gutzwiller,What is IBM Research?,IBM Research is the research and development division for IBM.
412,Martin Gutzwiller,What organizations jointly award the Dannie Heineman Prize for Mathematical Physics?,American Physical Society and American Institute of Physics
413,Martin Gutzwiller,"With which company did Brown, Boveri & Cie merge in 1988, and what was the name of the new entity formed?","In 1988, Brown, Boveri & Cie merged with ASEA to form ABB."
414,Martin Gutzwiller,When was the International Union of Pure and Applied Physics (IUPAP) established?,It was established in 1922.
415,Martin Gutzwiller,"When was Brown, Boveri & Cie founded and who were its founders?","Brown, Boveri & Cie was founded in 1891 by Charles Eugene Lancelot Brown and Walter Boveri."
416,Martin Gutzwiller,What is the primary mission of the International Union of Pure and Applied Physics?,"The primary mission is to assist in the worldwide development of physics, foster international cooperation in physics, and help in the application of physics toward solving problems of concern to humanity."
417,Martin Gutzwiller,"How many IBM Research labs are there, and where are they located?",There are twelve labs located on six continents.
418,Martin Gutzwiller,How many students were enrolled at ETH Zurich as of 2021?,"24,500"
419,Martin Gutzwiller,"What significant action did Brown, Boveri & Cie take in 1970?","In 1970, Brown, Boveri & Cie took over the Maschinenfabrik Oerlikon."
420,Martin Gutzwiller,What significant position did Max Dresden hold at the State University of New York at Stony Brook?,He headed the Institute for Theoretical Physics.
421,Martin Gutzwiller,"Can book collecting be an affordable hobby and if so, where can one find books?","Yes, book collecting can be affordable. Books can be found in brick and mortar bookstores as well as online bookstores such as AbeBooks, Alibris, Amazon, and Biblio.com."
422,Martin Gutzwiller,What major business shift did IBM undergo in the 1990s?,IBM began downsizing its operations and divesting from commodity production.
423,Martin Gutzwiller,What does the Dannie Heineman Prize for Mathematical Physics consist of as of 2010?,"US$10,000, a certificate citing the recipient's contributions, and travel expenses to attend the award meeting"
424,Thomas Klestil,What is the capital city of Austria?,The capital city of Austria is Vienna.
425,Thomas Klestil,When did Peru formally proclaim its independence from Spain?,1821.
426,Thomas Klestil,What is the capital and largest city of Croatia?,Zagreb
427,Thomas Klestil,When did Romania gain independence from the Ottoman Empire?,1877.
428,Thomas Klestil,When did the Netherlands legalise same-sex marriage?,2001.
429,Thomas Klestil,When did Arnold Schwarzenegger serve as the governor of California?,2003 to 2011
430,Thomas Klestil,How many times did Arnold Schwarzenegger win the Mr. Olympia title?,Seven times
431,Thomas Klestil,"What is the native name for Austria, and what does it mean?","The native name for Austria is Österreich, which means 'eastern realm'."
432,Thomas Klestil,When did Austria join the European Union?,Austria joined the European Union in 1995.
433,Thomas Klestil,What major international organizations are hosted by Vienna?,"United Nations, OPEC, and the OSCE"
434,Thomas Klestil,What positions did Kurt Waldheim hold in his career?,Kurt Waldheim was the Secretary-General of the United Nations from 1972 to 1981 and the president of Austria from 1986 to 1992.
435,Thomas Klestil,What is the population of Vienna within its metropolitan area?,2.9 million
436,Thomas Klestil,What is the highest peak in Romania and its altitude?,"Moldoveanu Peak, with an altitude of 2,544 m (8,346 ft)."
437,Thomas Klestil,What languages are spoken in Peru?,"Spanish, Quechuan languages, Aymara, and other Indigenous languages."
438,Thomas Klestil,What are the main economic activities in Peru?,"Mining, manufacturing, agriculture, and fishing."
439,Thomas Klestil,What are the main sectors that dominate the Croatian economy?,"Service, industrial sectors, and agriculture"
440,Thomas Klestil,What are the official languages in the Netherlands and its Caribbean territories?,"Dutch, with West Frisian as a secondary official language in the province of Friesland. Dutch, English, and Papiamento are official in the Caribbean territories."
441,Thomas Klestil,When and where was Kurt Waldheim born?,"Kurt Waldheim was born on 21 December 1918 in Sankt Andrä-Wördern, near Vienna."
442,Thomas Klestil,What are the countries that border Romania?,"Ukraine, Hungary, Serbia, Bulgaria, Moldova, and it also has a coastline along the Black Sea."
443,Thomas Klestil,What controversy surrounded Kurt Waldheim during his run for president?,"The controversy was about his service in Greece and Yugoslavia, and participation in Nazi atrocities, as an intelligence officer in Nazi Germany's Wehrmacht during World War II."
444,Abbott Lawrence,"What significant historical event took place in Salem, Massachusetts in 1692?",The Salem witch trials.
445,Abbott Lawrence,Name one historical event that took place in Boston during the American Revolution.,The Boston Massacre
446,Abbott Lawrence,What significant event occurred in 1620 in New England?,The Pilgrims established Plymouth Colony.
447,Abbott Lawrence,How long is the Merrimack River?,117 miles long
448,Abbott Lawrence,When was Mount Auburn Cemetery dedicated?,1831
449,Abbott Lawrence,What are the six states that comprise New England?,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
450,Abbott Lawrence,"Which two sports were invented in western Massachusetts cities, and in which cities were they invented?",Basketball in Springfield and volleyball in Holyoke.
451,Abbott Lawrence,How long did the Clayton–Bulwer Treaty remain in effect?,The treaty remained in effect until 1901.
452,Abbott Lawrence,Where does the Merrimack River originate?,"At the confluence of the Pemigewasset and Winnipesaukee rivers in Franklin, New Hampshire"
453,Abbott Lawrence,What are the major cities in Massachusetts besides Boston?,"Worcester, Springfield, and Cambridge."
454,Abbott Lawrence,"What year was Boston founded, and by whom?",1630 by Puritan settlers
455,Abbott Lawrence,What is the American Antiquarian Society?,"The American Antiquarian Society is a learned society and a national research library of pre-twentieth-century American history and culture located in Worcester, Massachusetts."
456,Abbott Lawrence,Where was John P. Bigelow born?,"John P. Bigelow was born in Groton, Massachusetts, in Middlesex County."
457,Abbott Lawrence,What geographical features dominate the western and northern regions of New England?,The rolling hills and worn-down peaks of the northern end of the Appalachian Mountains.
458,Abbott Lawrence,What body of water does the Merrimack River empty into?,Gulf of Maine at Newburyport
459,Abbott Lawrence,"When was the American Antiquarian Society founded, and what is its significance?","Founded in 1812, it is the oldest historical society in the United States with a national focus."
460,Abbott Lawrence,What tragedy did John P. Bigelow face in his personal life?,"John P. Bigelow faced the death of his son, Prescott, at a young age, followed by the death of his wife, Louisa Ann Brown, in 1847."
461,Abbott Lawrence,How was Augustus Lowell related to John Lowell?,John Lowell was his great-grandfather.
462,Abbott Lawrence,What was the primary purpose of the Clayton–Bulwer Treaty signed in 1850?,The primary purpose was to prevent war between the United States and the United Kingdom by resolving tensions over American plans to construct a Nicaraguan Canal.
463,Abbott Lawrence,What positions did John P. Bigelow hold in his political career?,"John P. Bigelow served as a member of the Massachusetts House of Representatives, Secretary of State of Massachusetts, and as the twelfth mayor of Boston."
464,Anna Diamantopoulou,How many members are there in the European Commission?,27 members
465,Anna Diamantopoulou,When was the Aristotle University of Thessaloniki founded?,1925
466,Anna Diamantopoulou,What is the Aristotle University of Thessaloniki named after?,The philosopher Aristotle
467,Anna Diamantopoulou,When was the University of Modena and Reggio Emilia founded?,1175
468,Anna Diamantopoulou,Who nominates the President of the European Commission?,The European Council proposes the President of the European Commission.
469,Anna Diamantopoulou,What is the Panteion University of Social and Political Sciences?,"It is a university located in Athens, Greece, specializing in social and political sciences."
470,Anna Diamantopoulou,What notable educational institution is located in Kozani?,The University of Western Macedonia
471,Anna Diamantopoulou,Do European Commissioners represent their member states?,"No, they are supposed to act in European interests, not represent their member states."
472,Anna Diamantopoulou,What languages are courses at the Aristotle University of Thessaloniki offered in for international students?,"English, French, German, and Italian"
473,Anna Diamantopoulou,What was Jerzy Buzek's proposal regarding the appointment of European Commissioners?,Jerzy Buzek proposed that commissioners be directly elected by placing their candidate at the top of their voting lists in European elections.
474,Anna Diamantopoulou,What significant changes did the Prodi Commission oversee in the European Union?,"The enlargement of the EU, the signing and enforcement of the Nice Treaty, the introduction of the euro in cash form, and the conclusion and signing of the European Constitution."
475,Anna Diamantopoulou,What is the role of Directorates-General within the European Commission?,"Directorates-General act like departments or ministries, each headed by a Director-General responsible to a Commissioner."
476,Anna Diamantopoulou,What were the main priorities of the new approach to the European Employment Strategy introduced in 2003?,Full employment and better working conditions.
477,Anna Diamantopoulou,When were the legislative elections held in Greece in 2012?,"Sunday, 6 May 2012"
478,Anna Diamantopoulou,How do Member States implement the European Employment Strategy annually?,Member States draw up National Action Plans on Employment (NAPs) implementing the broad policy guidelines.
479,Anna Diamantopoulou,How are European Commissioners appointed?,"Commissioners are nominated by member states in consultation with the Commission President, undergo hearings at the European Parliament, and are formally put into office by the European Council."
480,Anna Diamantopoulou,When did the Prodi Commission take office?,16 September 1999
481,Anna Diamantopoulou,What are the four pillars of the European Employment Strategy?,"Employability, entrepreneurship, adaptability, and equal opportunities."
482,Anna Diamantopoulou,What is Kozani renowned for producing?,Saffron (Krokos Kozanis)
483,Eve Arnold,What is the official name of China?,People's Republic of China
484,Eve Arnold,For which film did Joan Crawford win the Academy Award for Best Actress?,Mildred Pierce
485,Eve Arnold,When was Marilyn Monroe born?,"June 1, 1926"
486,Eve Arnold,What was Marilyn Monroe's birth name?,Norma Jeane Mortenson
487,Eve Arnold,What is the capital city of Russia?,Moscow
488,Eve Arnold,When did Russia adopt Orthodox Christianity?,In 988
489,Eve Arnold,What year did the Russian SFSR emerge as the independent Russian Federation?,In 1991
490,Eve Arnold,Which organization is widely seen as the cornerstone of the black power movement?,The Black Panther Party (BPP).
491,Eve Arnold,When was Picture Post first published and when did it cease publication?,Picture Post was first published in 1938 and ceased publication in 1957.
492,Eve Arnold,What is the population of London?,Around 8.8 million.
493,Eve Arnold,When was Joan Crawford born?,"March 23, 190?"
494,Eve Arnold,What type of editorial stance did Picture Post have?,"Picture Post had a liberal, anti-fascist, and populist editorial stance."
495,Eve Arnold,What is the origin of the name 'China'?,"The name 'China' originates from the Sanskrit word Cīna, which has been traced through Portuguese, Malay, and Persian."
496,Eve Arnold,What is St George's Square and where is it located?,"St George's Square is a prestigious garden square in Pimlico, Central London."
497,Eve Arnold,Where is the International Center of Photography located?,"79 Essex Street on the Lower East Side of Manhattan, New York City"
498,Eve Arnold,What was Harper's Bazaar originally published as?,A weekly Harper's Bazar
499,Eve Arnold,What features are present in St George's Square?,"The square features gardens, a church, and is near the River Thames."
500,Eve Arnold,What was Alexey Brodovitch's family background?,"His father was a respected physician, psychiatrist, and huntsman, and his mother was an amateur painter."
501,Eve Arnold,How many provinces does China have?,22 provinces
502,Eve Arnold,How many times did Joan Crawford marry?,Four times
503,Elizabeth Manley,What are the two official languages of Canada?,English and French
504,Elizabeth Manley,How many university and college institutions are mentioned as being in Ottawa?,4
505,Elizabeth Manley,Who composed the opera Carmen?,Georges Bizet
506,Elizabeth Manley,What genre does Carmen belong to?,Opéra comique
507,Elizabeth Manley,When was Ottawa originally founded and by what name?,Founded in 1826 as Bytown
508,Elizabeth Manley,What is Oberstdorf known for?,Oberstdorf is known as a skiing and hiking town.
509,Elizabeth Manley,How can visitors reach the top of the Nebelhorn in Oberstdorf?,Visitors can reach the top of the Nebelhorn with a big cable car.
510,Elizabeth Manley,What is the population size of Canada?,40 million people
511,Elizabeth Manley,When was Herbal Magic founded and by whom?,Herbal Magic was founded in 1995 by Dieter Decker.
512,Elizabeth Manley,What significant feature was introduced by Canada's Sports Hall of Fame in 2019?,The People's Choice Award
513,Elizabeth Manley,What makes Oberstdorf a notable location in Germany?,It is the southernmost settlement in Germany and one of its highest towns.
514,Elizabeth Manley,What rivalry is Debi Thomas known for during the 1988 Calgary Olympics?,"Her rivalry with East Germany's Katarina Witt, known as the Battle of the Carmens."
515,Elizabeth Manley,What is the setting of Carmen?,Southern Spain
516,Elizabeth Manley,What type of products and services does Herbal Magic currently offer?,"Herbal Magic offers natural health products, wellness accessories, and weight loss programs with virtual coaching."
517,Elizabeth Manley,What is the origin of the name 'Canada'?,"It comes from the St. Lawrence Iroquoian word 'kanata', meaning 'village' or 'settlement'."
518,Elizabeth Manley,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953"
519,Elizabeth Manley,What does the term 'Ontario' possibly mean in the Iroquoian languages?,Beautiful water or sparkling water
520,Elizabeth Manley,How has Herbal Magic adapted its business model in recent years?,"Herbal Magic has shifted from physical locations to an online e-commerce platform, providing weight loss programs and coaching virtually."
521,Elizabeth Manley,What is the informal name given to the figure skating rivalry between Katarina Witt and Debi Thomas at the 1988 Winter Olympics?,The Battle of the Carmens
522,Elizabeth Manley,What are some of Debi Thomas's achievements in figure skating?,"She is the 1986 World champion, the 1988 Olympic bronze medalist, and a two-time U.S. national champion."
523,Maximus Planudes,What are the three distinct genders found in the Latin language?,"masculine, feminine, and neuter"
524,Maximus Planudes,What led to Latin being considered a dead language despite its extensive use?,It lacked native speakers.
525,Maximus Planudes,When did Constantinople become the capital of the Roman Empire?,330
526,Maximus Planudes,What major architectural masterpiece in Constantinople served as the seat of the Eastern Orthodox Church?,Hagia Sophia
527,Maximus Planudes,In what year was Constantinople finally conquered by the Ottoman Empire?,1453
528,Maximus Planudes,What was the capital of Bithynia?,Nicomedia.
529,Maximus Planudes,What was Nicomedia's status under the Roman Empire?,Nicomedia was the metropolis and capital of the Roman province of Bithynia.
530,Maximus Planudes,What significant change did Diocletian make to Nicomedia in 286?,Diocletian made Nicomedia the eastern and most senior capital city of the Roman Empire.
531,Maximus Planudes,Who was Diophantus of Alexandria?,A Greek mathematician known for his works On Polygonal Numbers and the Arithmetica.
532,Maximus Planudes,Who built the Galata Tower and when?,The Genoese in 1348
533,Maximus Planudes,What literary genre did Ovid claim to have originated with the Heroides?,Ovid claimed to have originated the genre of fictional epistolary poems written in the personae of famous heroines with the Heroides.
534,Maximus Planudes,What modern mathematical concepts are named after Diophantus?,"Diophantine equations, Diophantine geometry, and Diophantine approximations."
535,Maximus Planudes,"When was Nicomedia founded, and by whom?",Nicomedia was founded in 712–11 BC by the Megarians.
536,Maximus Planudes,How many pages does the manuscript of the Palatine Anthology consist of?,The manuscript consists of 709 pages.
537,Maximus Planudes,When was Petrarch born?,20 July 1304
538,Maximus Planudes,What is the Palatine Anthology?,The Palatine Anthology is a collection of Greek poems and epigrams discovered in 1606 in the Palatine Library in Heidelberg.
539,Maximus Planudes,What major natural feature is prominent in Bithynia and is visible from Istanbul?,The Mysian Olympus mountain range.
540,Maximus Planudes,What is the Greek Anthology?,"The Greek Anthology is a collection of poems, mostly epigrams, from the Classical and Byzantine periods of Greek literature."
541,Maximus Planudes,What are the two suggested origins of the name 'Galata' according to the Greeks?,From 'Galatai' meaning 'Gauls' or from 'galatas' meaning 'milkman'
542,Maximus Planudes,What time period does the Palatine Anthology cover?,It contains material from the 7th century BC until 600 AD.
543,Ernest Ansermet,What is Paris known as due to its extensive system of street lighting in the 19th century?,City of Light
544,Ernest Ansermet,What year did Paris first host the Olympic Games?,1900
545,Ernest Ansermet,Who founded the Ballets Russes?,Sergei Diaghilev
546,Ernest Ansermet,During what years was the Ballets Russes active?,1909 to 1929
547,Ernest Ansermet,When was the Orchestre de la Suisse Romande founded?,1918
548,Ernest Ansermet,Who is the composer of Six épigraphes antiques?,Claude Debussy
549,Ernest Ansermet,Where is the Orchestre de la Suisse Romande based?,Geneva at the Victoria Hall
550,Ernest Ansermet,Who originally composed the ballet Chout and in what year was it first composed?,Sergei Prokofiev in 1915
551,Ernest Ansermet,How many passengers does the Paris Métro serve daily?,5.23 million
552,Ernest Ansermet,What is Lausanne known for in the international sports community?,"Lausanne is known as the 'Olympic Capital' and hosts the International Olympic Committee, the Court of Arbitration for Sport, and about 55 international sport associations."
553,Ernest Ansermet,What significant international documents were signed in Geneva?,The Geneva Conventions on humanitarian treatment in war were signed in Geneva.
554,Ernest Ansermet,What made the Ballets Russes considered the most influential ballet company of the 20th century?,"It promoted ground-breaking artistic collaborations among young choreographers, composers, designers, and dancers."
555,Ernest Ansermet,How does Lausanne's metro system stand out globally?,Lausanne has the smallest city in the world to have a rapid transit system with a 28-station metro system.
556,Ernest Ansermet,How many symphonies did Julien-François Zbinden compose?,5 symphonies
557,Ernest Ansermet,How was Geneva ranked in terms of financial centres and livability in recent years?,"In 2023, Geneva was ranked as the world's tenth most important financial centre and among the ten most liveable cities in the world by Mercer in 2019."
558,Ernest Ansermet,What is the full title of the ballet Chout?,Tale of the Jester Who Outwits Seven Other Jesters
559,Ernest Ansermet,What venue hosted the first performance of the Paris symphonies?,The Salle des Gardes du Corps of the Tuileries.
560,Ernest Ansermet,When and where was Albéric Magnard born?,9 June 1865 in Paris.
561,Ernest Ansermet,What is Geneva known for internationally?,"Geneva is known as a global city, a financial centre, and a worldwide centre for diplomacy due to the presence of numerous international organizations."
562,Ernest Ansermet,What roles did Julien-François Zbinden hold at Radio Suisse Romande?,Recording manager and later head of the music department
563,Jean Ziegler,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport
564,Jean Ziegler,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,1991
565,Jean Ziegler,What is the official religion of Libya?,Islam.
566,Jean Ziegler,What is the mission of the United Nations Human Rights Council (UNHRC)?,To promote and protect human rights around the world.
567,Jean Ziegler,When was the University of Geneva founded and by whom?,The University of Geneva was founded in 1559 by French theologian John Calvin.
568,Jean Ziegler,"How many principal operational organizations does the United Nations have, and can you name one?","The UN has six principal operational organizations, one of which is the General Assembly."
569,Jean Ziegler,What are the three historical regions that comprise Libya?,"Tripolitania, Fezzan, and Cyrenaica."
570,Jean Ziegler,When did Libya gain its independence and what was its first official name after independence?,Libya gained independence in 1951 as the United Libyan Kingdom.
571,Jean Ziegler,How does the University of Geneva rank in terms of its size in Switzerland?,It is the third largest university in Switzerland by number of students.
572,Jean Ziegler,How are the members of the United Nations Human Rights Council elected?,Members are elected by the General Assembly for staggered three-year terms on a regional group basis.
573,Jean Ziegler,What was Roger Garaudy's profession?,"He was a French philosopher, resistance fighter, and communist author."
574,Jean Ziegler,What led to the establishment of the United Nations Human Rights Council?,It was established to replace the United Nations Commission on Human Rights on 15 March 2006.
575,Jean Ziegler,When was the United Nations established and what event prompted its creation?,"The UN was established after World War II, on 24 October 1945, with the aim of preventing future world wars."
576,Jean Ziegler,What significant international documents were signed in Geneva?,The Geneva Conventions on humanitarian treatment in war were signed in Geneva.
577,Jean Ziegler,What was Roger Garaudy convicted for in 1998?,Holocaust denial
578,Jean Ziegler,What significant change occurred at the University of Geneva in 1873?,"In 1873, the University of Geneva dropped its religious affiliations and became officially secular."
579,Jean Ziegler,How was Geneva ranked in terms of financial centres and livability in recent years?,"In 2023, Geneva was ranked as the world's tenth most important financial centre and among the ten most liveable cities in the world by Mercer in 2019."
580,Jean Ziegler,What is Geneva known for internationally?,"Geneva is known as a global city, a financial centre, and a worldwide centre for diplomacy due to the presence of numerous international organizations."
581,Géza Maróczy,What is the official language of Hungary?,Hungarian
582,Géza Maróczy,When did Hungary join the European Union?,2004
583,Géza Maróczy,What is the capital and largest city of Hungary?,Budapest
584,Géza Maróczy,When did Max Euwe become the World Chess Champion?,1935
585,Géza Maróczy,When was Emanuel Lasker born?,"December 24, 1868"
586,Géza Maróczy,How long did Emanuel Lasker hold the World Chess Champion title?,27 years
587,Géza Maróczy,How did Karl Helling perform in the 4th Chess Olympiad?,He represented Germany.
588,Géza Maróczy,Who is the author of My System?,Aron Nimzowitsch
589,Géza Maróczy,How long did Jacques Mieses's professional chess career last?,His professional chess career lasted 64 years.
590,Géza Maróczy,What nickname was Joseph Henry Blackburne known by?,The Black Death
591,Géza Maróczy,What is the full name of FIDE and where is its headquarters located?,"The full name of FIDE is the International Chess Federation or World Chess Federation, and its headquarters is located in Switzerland."
592,Géza Maróczy,What was Max Euwe's profession outside of being a chess player?,"Mathematician, author, and chess administrator."
593,Géza Maróczy,When was Jacques Mieses born and when did he die?,Jacques Mieses was born on 27 February 1865 and died on 23 February 1954.
594,Géza Maróczy,How did Mikhail Chigorin fare in his World Championship matches against Wilhelm Steinitz?,He lost both World Championship matches against Wilhelm Steinitz.
595,Géza Maróczy,What is the main focus of My System?,Chess theory
596,Géza Maróczy,What significant title did Jacques Mieses receive from FIDE in 1950?,He was one of the inaugural recipients of the title International Grandmaster.
597,Géza Maróczy,What are some of the key events and championships that FIDE organizes?,"FIDE organizes the World Chess Championship, World Championships for women, juniors, seniors, and the disabled, the Chess Olympiad, the World Team Championship, the Candidates Tournament, and qualifying tournaments like the Chess World Cup, the FIDE Grand Prix, and the FIDE Grand Swiss Tournament 2019."
598,Géza Maróczy,When and where was Mikhail Chigorin born?,12 November 1850 in Gatchina.
599,Géza Maróczy,What significant contribution did Max Euwe make to the field of computer programming?,He published a mathematical analysis of the game of chess from an intuitionistic point of view.
600,Géza Maróczy,How did Joseph Henry Blackburne learn to play chess?,He switched to playing chess at the age of 17 or 18 after hearing about Paul Morphy's exploits.
601,Thomas Baines,What are the three capitals of South Africa?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital."
602,Thomas Baines,What was King's Lynn known as until 1537?,Bishop's Lynn
603,Thomas Baines,In which county is King's Lynn located?,Norfolk
604,Thomas Baines,When was the Royal Geographical Society founded?,1830
605,Thomas Baines,What was the original name of the Royal Geographical Society?,Geographical Society of London
606,Thomas Baines,What were the names of the two major cities in Rhodesia?,Salisbury and Bulawayo
607,Thomas Baines,Who is the author of The Malay Archipelago?,Alfred Russel Wallace
608,Thomas Baines,What was Gweru originally known as?,Gwelo
609,Thomas Baines,How many official languages does South Africa recognize in its constitution?,South Africa recognizes 12 official languages in its constitution.
610,Thomas Baines,When was Cape Town founded and by whom?,Cape Town was founded on 6 April 1652 by the Dutch East India Company (VOC).
611,Thomas Baines,What major educational institutions are located in Gweru?,Midlands State University and Mkoba Teachers College
612,Thomas Baines,"When was the Brenthurst Library built, and by whom?",The Brenthurst Library was built in 1984 by Harry Oppenheimer.
613,Thomas Baines,What is Cape Town known for?,"Cape Town is known for its harbour, natural setting in the Cape Floristic Region, Table Mountain, and Cape Point."
614,Thomas Baines,When did Rhodesia declare its Unilateral Declaration of Independence from the United Kingdom?,11 November 1965
615,Thomas Baines,What years did Alfred Russel Wallace explore the Malay Archipelago?,1854 to 1862
616,Thomas Baines,What nickname is given to the city of Gweru?,City of Progress
617,Thomas Baines,How did the Royal Geographical Society become known with its current name?,It was granted its royal charter under Queen Victoria in 1859.
618,Thomas Baines,What types of materials does the Brenthurst Library's collection consist of?,"The collection consists of art, books & pamphlets, manuscripts, maps, and photographs."
619,Thomas Baines,What notable rankings did Cape Town receive from The New York Times and The Daily Telegraph?,Cape Town was named the best place in the world to visit by The New York Times in 2014 and by The Daily Telegraph in 2016.
620,Dany Robin,Where was Paula Prentiss born?,"San Antonio, Texas."
621,Dany Robin,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960
622,Dany Robin,When and where was Peter Sellers born?,Peter Sellers was born on 8 September 1925 in Southsea.
623,Dany Robin,How did Peter Sellers first come to prominence?,Peter Sellers first came to prominence performing in the BBC Radio comedy series The Goon Show.
624,Dany Robin,What replaced the pea fields in petit Clamart?,Urbanization developed in the 1960s replaced the pea fields in petit Clamart.
625,Dany Robin,What separates the two parts of Clamart?,A forest separates the two parts of Clamart.
626,Dany Robin,What is Connie Francis' birth name?,Concetta Rosa Maria Franconero
627,Dany Robin,What is Janis Paige's birth name?,Donna Mae Tjaden
628,Dany Robin,Where is Clamart located in relation to Paris?,"Clamart is located in the southwestern suburbs of Paris, 8.7 km (5.4 mi) from the centre of Paris."
629,Dany Robin,For what roles was Peter Sellers nominated for Academy Awards?,"Sellers was nominated for Academy Awards for his performances in Dr. Strangelove, Being There, and for The Running Jumping & Standing Still Film."
630,Dany Robin,How is the town of Clamart divided?,"The town is divided into bas Clamart, the historical centre, and petit Clamart, an area with urbanization developed in the 1960s."
631,Dany Robin,What was Peter Sellers known for?,"Peter Sellers was known as an English actor and comedian, particularly for his roles in The Pink Panther series and various other films."
632,Dany Robin,What was one of Janis Paige's roles during World War II?,She was a singer at the Hollywood Canteen.
633,Dany Robin,How many records is Connie Francis estimated to have sold worldwide?,More than 100 million
