,question,answer,generated
272,How many people did AGO Flugzeugwerke employ at its peak?,"At its peak, AGO Flugzeugwerke employed around 4,500 people.",**
273,What was BMW's first mass-production electric car and in what year was it released?,"BMW's first mass-production electric car was the BMW i3, released in 2013.",The Tesla Model S
274,How far is Lüneburg from Hamburg?,About 50 km southeast,The distance is 100 km
275,What historical league was Lüneburg a member of?,Hanseatic League,The English Premier League
276,"When was Richmond, Indiana's first post office established?",1818,I don't know
277,What historical period does 'The Way West' cover in its depiction of the Oregon Trail and Montana's development?,From 1830 to the near present of the 1880s cattle empire,The Renaissance
278,"What is the population of Bedford, Indiana according to the 2020 census?","13,792",The 2020 census was not conducted in Bedford
279,When was Earlham College established?,1847,The year was 1850
280,What license is most of GNU licensed under?,The GNU General Public License (GPL).,The BSD license 
281,What is GNU?,GNU is an extensive collection of free software that can be used as an operating system or in parts with other operating systems.,The Linux operating system
282,What is the Open Source Initiative?,"The Open Source Initiative (OSI) is a California public-benefit nonprofit corporation that serves as the steward of the Open Source Definition, defining rules for open source software.",The Open Source Initiative is a non-profit organization that focuses on developing and maintaining the Android operating system.
283,What does the acronym GNU stand for?,GNU's Not Unix!,The Free Software Foundation
284,What is the official name of Germany?,Federal Republic of Germany,**
285,What are the borders of Israel?,"Israel is bordered by Lebanon to the north, Syria to the northeast, Jordan to the east, the Red Sea to the south, Egypt to the southwest, the Mediterranean Sea to the west, and the Palestinian territories – the West Bank along the east and the Gaza Strip along the southwest.",The borders are defined by the Mediterranean Sea.
286,What was the primary opposition of the Confessing Church in Nazi Germany?,The Confessing Church opposed government efforts to unify Protestant churches into a single pro-Nazi German Evangelical Church.,The Communist Party
287,When did the State of Israel declare its establishment?,The State of Israel declared its establishment on 14 May 1948.,The year 1940
288,What plant genus was named in honor of Otto Renner?,Rennera,**
289,Which universities did Otto Renner work at during his career?,University of Munich and University of Jena,He worked at Harvard
290,Where is Müncheberg located?,"Müncheberg is located in Märkisch-Oderland, in eastern Germany.",It is in Germany
291,What significant event in the Grand Duchy of Baden occurred in 1848?,A revolution,The event was the establishment of the Baden's first football team.
292,What is the capital city of Cuba?,Havana,The capital city is Tokyo. 
293,What is the significance of the Alma Mater statue at the University of Havana?,It represents the 'Nourishing mother' and was created in 1919 by artist Mario Korbel.,The statue represents the university's commitment to innovation and technology.
294,How much is the prize for the Premio Biblioteca Breve?,"€30,000 and publication of the winning work.","The prize is $10,000."
295,When did Cuba gain independence from the United States?,1902,The year was 1900
296,When did the New York Giants join the NFL?,1925,They joined in 2000
297,What makes the All-Pro honor more prestigious than Pro Bowl selections?,"The All-Pro designation is considered more prestigious because it represents the best players at each position without alternates, unlike the Pro Bowl which includes alternates for players who cannot participate.",The Pro Bowl is a more selective process.
298,"Besides the official NFL selection, which organizations also selected 1931 All-Pro Teams?","Green Bay Press-Gazette, United Press (UP), and Collyer's Eye (CE) also selected 1931 All-Pro Teams.",The MLB
299,How many teams are there in Major League Baseball?,There are 30 teams in Major League Baseball.,There are 30 teams in the NBA. 
300,What was Sergio Corbucci's nationality?,Italian,He was American. 
301,What is Federico Fellini best known for?,Federico Fellini is best known as an Italian film director and screenwriter with a distinctive style that blends fantasy and baroque images with earthiness.,He was a renowned architect.
302,Who is Sergio Corbucci's brother?,Bruno Corbucci,I don't know who that is. 
303,When did Bernardo Bertolucci win the Academy Award for Best Director?,1987,He won in 2010
304,When was the Cleveland Orchestra founded?,1918,The year was 1940
305,When was the Vienna Singverein founded in its present form?,The choir was founded in its present form in 1858.,The year was 1800
306,Who are the members of the Vienna Philharmonic recruited from?,The members of the Vienna Philharmonic are recruited from the Vienna State Opera's orchestra.,The local residents
307,Where does the Cleveland Orchestra play most of its concerts?,Severance Hall,The New York Philharmonic
308,What is the equivalent rank of Leutnant zur See in the United States Navy?,Ensign,The Leutnant zur See is a rank in the French Navy. 
309,What is the Iron Cross and in which countries was it a military decoration?,"The Iron Cross was a military decoration in the Kingdom of Prussia, the German Empire, and Nazi Germany.",The Iron Cross was a medieval knight's armor. 
310,What is the origin of the term 'U-boat'?,"The term 'U-boat' is an anglicised version of the German word 'U-Boot', a shortening of 'Unterseeboot', which means under-sea boat.",The ancient Egyptians
311,What event is generally considered to have triggered the start of World War II?,Nazi Germany's invasion of Poland on 1 September 1939,The invasion of Germany by the Soviet Union
312,What notable historical structure is Bitche known for?,Its large citadel,The Eiffel Tower
313,How long did the fortress in Bitche resist during the Franco-Prussian War?,About eight months,The fortress was built by the Romans
314,In which department and region is Bitche located?,"Moselle department, Grand Est region","The department is Maharashtra, and the region is Western India. "
315,What is the original meaning of the name 'Königsberg'?,'King's mountain',It was a city in ancient Egypt.
316,What is Göttingen famous for?,"Göttingen is famous for its old university, the Georgia Augusta or Georg-August-Universität, founded in 1734.",The city is known for its beautiful beaches.
317,What was the capital of the Province of Prussia?,"Königsberg, present-day Kaliningrad, Russia, was the capital of the Province of Prussia.",The capital of Australia 
318,"What year was Königsberg founded, and by whom?",1255 by the Teutonic Knights,"The year was 1200, by the Roman Empire. "
319,What is the official name of Belgium?,Kingdom of Belgium,The United States
320,Who is the head of the federal government of Belgium?,The prime minister of Belgium,The Prime Minister
321,How many classes and medals are issued within the Order of Leopold II?,There are five classes and three medals.,The Order of Leopold II has 5 classes and 10 medals.
322,Since what year has Leuven been a university city?,1425,2020
323,When was the Journal of Biological Chemistry established?,1905,The year was 1990
324,"Is the Journal of Biological Chemistry open access, and if so, since when?","Yes, it is fully open access since January 2021.","The journal is not open access, it is a paid subscription service. "
325,What is the main premise of the Human Potential Movement?,"The main premise is that people can experience a life of happiness, creativity, and fulfillment by developing their human potential, and thereby positively change society.",The movement focused on environmental issues and sustainability.
326,"What year was Columbia University originally established, and what was its original name?",Columbia University was established in 1754 as King's College.,"The university was established in 1850 and was named ""Harvard"".The university was established in 1920 and was named ""Stanford"".The university was established in 1950 and was named ""MIT"".The university was established in 1970 and was named ""Columbia""."
327,How long did Franklin Gardner hold out during the Siege of Port Hudson before surrendering?,47 days.,He surrendered after 3 days
328,What is the role of the Governor of Louisiana?,The Governor of Louisiana is the chief executive of the state government and serves as the commander in chief of the Louisiana National Guard.,The Governor is in charge of the state's finances.
329,What is the term length for a member of the Louisiana House of Representatives?,Four-year terms,The term length is 2 years.
330,What was the Battle of Mansfield also known as?,The Battle of Sabine Crossroads,The Battle of Gettysburg
331,Which river is Heidelberg situated on?,the river Neckar,The Rhine
332,What fields did Albert von Kölliker specialize in?,"Albert von Kölliker specialized in anatomy, physiology, and histology.",He was a physicist.
333,When and where was Wilhelm Heinrich Erb born?,He was born on 30 November 1840 in Winnweiler.,He was born in Germany in the year 1990. 
334,What is Heidelberg famous for in terms of its educational institutions?,"Heidelberg University, Germany's oldest university",The University of Oxford
335,In which district is Treuchtlingen located?,Weißenburg-Gunzenhausen,The district is in Germany. 
336,How did Vöcklabruck get its name?,"Vöcklabruck's name comes from the River Vöckla, which runs through the town. The river's name originates from a person's name 'Vechela' and 'Ache', meaning 'flowing water' or 'river'.",The name was derived from a ancient civilization.
337,What is the population of Gmunden as of 2016?,"13,204",I don't have that information. 
338,When did Gustavus Adolphus become King of Sweden?,1611,He was born in 1620
339,When was Warsaw's reconstructed Old Town listed as a World Heritage Site?,1980,2010
340,What is the official language of Lithuania?,Lithuanian,The English language
341,What must the Prime Minister of Poland do within fourteen days following their appointment?,"Submit a programme outlining the government's agenda to the Sejm, requiring a vote of confidence.",The Prime Minister must attend a meeting with the President.
342,What is the official name of Poland?,Republic of Poland,**
343,Where is the Los Angeles Philharmonic based?,"Los Angeles, California",The New York City Ballet
344,What led to the formation of the Radio Corporation of America (RCA) in 1919?,"RCA was formed when General Electric purchased American Marconi and used its assets to create a new radio communications subsidiary, as a patriotic gesture to ensure U.S. control over radio communications.",The company was formed to develop a new type of computer.
345,What is the population of Barcelona within city limits?,1.6 million,The population is 1 million
346,Who is the current music director of the Los Angeles Philharmonic?,Gustavo Dudamel,I don't know the current music director of the Los Angeles Philharmonic.
347,What river does Berlin build along?,The Spree river,The Amazon
348,When was the Waldfriedhof Dahlem designed and by whom?,Designed between 1931 and 1933 by Albert Brodersen.,The Waldfriedhof Dahlem was designed in the 19th century by a French artist. 
349,Where is the Waldfriedhof Dahlem located?,"Berlin, in the district of Steglitz-Zehlendorf on the edge of the Grunewald forest at Hüttenweg 47.",The Waldfriedhof Dahlem is in Paris. 
350,When did Berlin become the capital of Germany after reunification?,1990,The year was 1990
351,When was the Johannes Gutenberg University Mainz founded?,1477,The university was founded in 2001
352,How does Verstehen differ from positivist sociology?,"Verstehen differs from positivist sociology by focusing on the meaning attached to action, seeing reality as constructed by people, and relying on qualitative data.",Verstehen is a type of sociology that focuses on the study of family dynamics. 
353,What personal challenges did Jürgen Habermas face in his childhood?,Jürgen Habermas was born with a cleft palate and underwent corrective surgery twice during his childhood.,He faced a difficult relationship with his parents. 
354,What is the Academia Europaea?,"The Academia Europaea is a pan-European Academy of Humanities, Letters, Law, and Sciences.",The Academia Europaea is a prestigious award given to individuals who have made significant contributions to the field of science.
355,Who created Esperanto?,L. L. Zamenhof,Ludwig van Beethoven
356,Where was Eusapia Palladino born?,"She was born in Minervino Murge, Italy.",She was born in the United States. 
357,What is Guelma?,"Guelma is the capital of Guelma Province and Guelma District, located in north-eastern Algeria.",It is a city in France
358,In what year was Esperanto created?,1887,The year was 1990
359,When was the British Broadcasting Corporation (BBC) originally established?,1922,The year was 1950
360,What are some of the major cultural assets owned and operated by the University of Manchester?,"Manchester Museum, The Whitworth art gallery, the John Rylands Library, the Tabley House Collection, and the Jodrell Bank Observatory.",The University of Manchester has a large collection of art and artifacts from ancient civilizations.
361,What is the population of Manchester as of the 2021 census?,"552,000",The population was 1 million
362,What was the main purpose of the BBC Micro?,"The main purpose of the BBC Micro was for education, as part of the BBC's Computer Literacy Project.",It was a gaming console.
363,What is the official language of Winterthur?,German,The language is English.
364,What is the significance of the Federal Charter of 1291 for Switzerland?,It is considered the country's founding document.,**
365,"What significant action did Brown, Boveri & Cie. take in 1970?",Took over the Maschinenfabrik Oerlikon,They launched a new product line.
366,What are the languages spoken in Switzerland?,"German, French, Italian, and Romansh.","The languages spoken in Switzerland are English, Spanish, French, and German."
367,What type of government does Liechtenstein have?,Semi-constitutional monarchy,It is a monarchy.
368,What new events made their debut at the 2018 Winter Olympics?,"""big air"" snowboarding, mass start speed skating, mixed doubles curling, and mixed team alpine skiing",The 100m dash
369,Who is the current prince of Liechtenstein?,Hans-Adam II,The current king of England
370,What was Covent Garden originally used for before it became a commercial and tourist area?,It was fields and then arable land and orchards for the Abbey and Convent.,It was a marketplace for local farmers. 
371,What are some of the major Wagnerian roles Adolf Robinson was known for?,Wotan in The Ring Cycle and Hans Sachs in Die Meistersinger von Nürnberg,He was a famous basketball player.
372,Who composed the opera Otello?,Giuseppe Verdi,**
373,When was Saint Louis University founded?,1818,The year was 1850
374,How are members elected to the National Academy of Sciences?,New members of the NAS are elected annually by current members based on their distinguished and continuing achievements in original research.,They are chosen by a random draw.
375,What significant discovery did Adolf Butenandt make in 1959?,"He discovered the structure of the sex pheromone of silkworms, naming it bombykol.",He discovered a new planet in the solar system.
376,When were the Nobel Prizes first awarded?,1901,The year 2000
